File Name,Skills,Certifications,Tools,Additional Expertise
Resume_756, - Accounts Payable - Art - Audio - Read Blueprints - Book - Budget - Cash Register - Closing - Cost control - Crisis Intervention - Customer Service - Delivery - HVAC - Inventory - Regulatory compliance - Managing - Materials - Mechanical - Organizing - Camera - Plumbing - POS - Problem solver - Procurement - Project Management - Receiving - Renovation - Renovations - Retail - Retail Sales - Safety - Scheduling - Staffing - Stress Management - Supervising - Troubleshooting - Utilities - Video - Wiring, - Electrical Assistant & HVAC-R Certificate - Trade Certificate: Electrical Assistant & HVAC/R Tech," - OTPS Receiving and Accounts Payable systems - FedEx, UPS and USPS shipping systems - 32 and 16 channel CCTV camera system - POS system"," - Engineering and physical plant responsibilities in healthcare - Project management for new constructions, renovations, alterations, mechanical, electrical, utilities, HVAC/R, plumbing, fire safety, communication and associated systems - Preventative routine maintenance of facilities including pond, waterfall, fountains, elevators, electrical, roof, landscaping, and HVAC - Selecting and managing staff and contractors"
Resume_755,"administrative functions, administrative support, art, automobiles, basic, changing bed linens, benefits, bookkeeping, charts, CPR, client, clients, data entry, emotional support, faxes, filing, first aid, general office duties, infection control, insurance, lamp, laundry, sorting mail, materials, serve meals, medical terminology, administering medication, mail, office, office administration, provide patients with help, progress, reception, routing, safety, scheduling, sorting, spreadsheet, telephone, phones, time management, travel arrangements",First Aid & CPR,"records management systems, excel spreadsheets, meeting planning, database entry, appointment scheduling","senior leadership support, insurance processing"
Resume_999,"cash management, communication skills, computer literate, customer service, upselling techniques, quick learner, merchandising, credit card processing, stocking, strategic sales knowledge, skilled problem solver, proficient in cash management, cash handling accuracy, banking and financial services background, organized, detail-oriented, excellent multi-tasker, display design, flexible schedule, proficient in MS Office",None mentioned,"vacuum cleaners, floor buffers, carpet machines","Positive reinforcement method, food preparation (baking, roasting, broiling, steaming), food handling and portion sizing, animal care (pre-surgery, diagnostic tests, euthanasia, exams), office management (distributing notices, screening visitors, call handling), accounting (invoice processing, purchase orders, expense reports, cash reconciliation)"
Resume_2328," - EIGRP, OSPF, BGP, Route Redistribution, ACLs, Policy based routing, NAT, PAT - Switching: HSRP, VRRP, GLBP VLANs, VTP, Link aggregation (LACP, PAGP), STP, PVST+ - Firewalls: Palo Alto, Cisco ASA, Check Point - Routers: Cisco Routers (7600, 7200, Catalyst 6500, Nexus 7000, ASR 12000, ASR 9000) - Switches: Cisco switches (Nexus 7000 series, 5000 Series, Catalyst 6500 series, 6800 series) - Security Concepts: App-ID, User-ID, Wildfire, GlobalProtect, URL filtering, Blue Coat Proxy, PKI, SSL decryption, IKE, IPSec, HIP checks, Site-to-Site VPNs - Load Balancers: F5 BIG-IP (LTM/GTM), Citrix NetScaler - Wireless Networking: Cisco Meraki, Aruba, Clear-pass, Cisco WLAN, Wireless Aps, 802.1X a/b/g/n/ac - Software/Applications: Panorama, Cisco IOS, NX-OS, Smart Dash Board, VMware - Tools: SPLUNK, Solar Winds, SevOne, Wireshark, MS Visio, Lucid Chart, BMC Remedy - Routing: EIGRP, OSPF, BGP, Route Redistribution, ACLs, Policy based routing, NAT, PAT - Switching: HSRP, VRRP, GLBP VLANs, VTP, Link aggregation (LACP, PAGP), STP, PVST+ - Risk management processes and analysis", - CCNA - CCNP - Palo Alto ACE," - Palo Alto Firewalls - Cisco ASA Firewalls - Check Point Firewalls - Load Balancers: F5 BIG-IP, Citrix NetScaler - Wireless networking: Cisco Meraki, Aruba, Clear-pass, Cisco WLAN - VMware - Data center management - SPLUNK, Solar Winds, SevOne, Wireshark, MS Visio, Lucid Chart, BMC Remedy", - Designing manageable networks - Threat prevention and management - Troubleshooting network performance issues - Documentation - Risk management processes and analysis
Resume_1341, - analytical skills - Agency - Attention to detail - call center - Call Center - Caregiver - Case Management - cash register - Interpersonal communication - Oral communication - CA - CPR - credit - client - clients - customer services - Customer Service - customer care - database management - doors - equipment operation - fax - hoists - HOME CARE - IVR - Listening - notes - Machinist - maintenance schedule - materials - mechanical - MS Excel - Excel - Outlook - word - Microsoft Word - Navy - Naval - Assist patients - personnel - copy machine - Problem Resolution - Problem solving skills - quality - Quality assurance - quick - real time - repairing - Sales - San - schematics - self-motivated - scripts - Telecommunications - telephone - phone - toileting - tops - Troubleshooting - Verbal Communication Skills - record vital signs - written, - OC Certification - Baton Employment - Close Range Subject Control (CRSC) Techniques - Certificate Of Contamination, - Microsoft Word - Microsoft Excel - Microsoft Outlook - Cash register - Fax machine - Copy machine - Database management applications, - Machinist - Non Lethal Weapons training - Mechanical Engineering - Psychology - Business Administration
Resume_1073,"OSHA inspections, exceptional interpersonal skills, new hire orientation, compensation/payroll, recruiting, hiring and retention, training and development, regulatory compliance, personnel records maintenance, exceptional time management skills, adaptable, administrative, cash registers, clerical, credit, excellent customer service, inventory, exchange, money, nursing, organizational skills, reporting, sales, supervision, telephones",Georgia Medical Certificate,"cash registers, inventory management, patient documentation, medical office procedures","implementation of new tracking system, ensuring charting accuracy, training staff nurses, patient care and support, staff management and development, risk management and service improvement, infection control, budget creation and cost reduction"
Resume_2201," - SAS programming - R programming - SSPS programming - Excellent research skills - Microsoft Word, Excel, PowerPoint - Excellent quantitative skills - Team leadership - Organizational planning - Leadership/communication skills - Customer-oriented", - SAS advanced license, - R - SAS - SSPS - Linear model - Lasso regression - Multivariate adaptive regression splines - K-mean clustering - Hierarchical clustering - Boosting - Random Forest - Ridge regression - Lasso regression - Neural networks - CART - SVM - GARCH model - ARMAR model, - Experiment design - Sampling techniques - Documents management - Statistical inference - Time series analysis - Survival analysis - Experimental design - Practical statistical models - Data analysis
Resume_463, - 10 key - Adding machine - Approach - Agency - Banking - Basic - Bonds - Case management - Cash handling - Clerical - Conflict resolution - Copying - Counseling - Crisis intervention - Client - Clients - Customer service - Data entry - Driving - Trains employees - Faxing - Filing - Financial - Forms - Fundraising - Law enforcement - Legal - Letters - Director - Meetings - Access - Microsoft Excel - Money - Office - PowerPoint - Microsoft Word - Works - Multi-tasking - Organizing - Personnel - Police - Policies - Presentations - Public relations - Receiving - Record keeping - Recruiting - Reporting - Researching - Safety - Scanning - Secretarial - Statistics - Supervisor - Supervisory - Supervising - Taking messages - Phone - Typing 65 wpm - Warrants,None mentioned," - Microsoft Office Suite (Excel, Word, PowerPoint)"," - Crisis intervention and resolution - Complex problem solving skills - Valid Texas driver's license - Reliable transportation - Strong decision maker - Fundraising background - Client engagement - Compassionate - Dedicated patient advocate - Self-starter - Event planning and coordination - Coursework in Business, Communications, Advertising, Accounting, Human Computer Interaction, and Technical/Professional Writing"
Resume_2301," - Microsoft Office proficiency (PowerPoint, Publisher, Word, Excel) - Excel spreadsheets - Meticulous attention to detail - Travel administration - Strong problem solver - Customer service-oriented - Meeting planning - Desktop publishing software (Photoshop)", None mentioned, - SAP - Access databases - Project Tracker database - Tire Book and In-Stock Report - Tire Order Pad - Retail's intranet site (Pit Row)," - Graphic design and creation of promotional materials - Website management and e-marketing - Financial reporting and accounting - HR generalist support (succession planning, interviews, onboarding) - Intern and development program management - Database maintenance and analytics - Global communication and meeting coordination"
Resume_43, - Administrative Support - Anti-Virus - Billing - Budget - Oral communication - Conferences - Clients - Customer satisfaction - Databases - Documentation - Finance - Help Desk - Inside Sales - Marketing - Meetings - Access database - Excel spreadsheets - PowerPoint - Microsoft Word - Office Manager - Organizing - Pricing - Printers - Problem solving - Processes - Coding - Purchasing - Quality - Recording - Recruitment - Sales - Scheduling - Spreadsheets - Surveys - Travel arrangements - Troubleshooting - Websites - Written communication,None mentioned," - Quickbooks - Tigerpaw - Microsoft Office Suite (Word, Excel, Access) - PowerPoint - Select Surveys", - Human resources understanding - Scheduling proficiency - Market research proficiency - Report generation - Critical thinking - Eye for detail - Self-directed nature - Analytical problem solving - Contracts - Social media and networks - Exceptional telephone etiquette - Patient and diligent
Resume_111," - Critical Thinker - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems - Time Management & Communication - Managing one's time, as well as team's, to adhere to Drop Dead Dates - Adaptability - Being flexible to change as it comes and resolving in a timely manner - Social Perceptiveness - Working with team and taking leadership role to maintain brand direction - Attention to Detail - Thorough and complete work in all related processes to end product - Innovation - Demonstrated creative ability to design within business budgets, while following consumers' needs/trends - Strong creative design skills - Merchandising - Creating Line sheets/Look-books - Demographic studies - Well versed in Adobe softwares; Illustrator & PS - Technical Drawings - MAC and PC versatility - Hand-Pattern work", - Certified OZ PRINCIPLE Leader 2014 - Present," - PLM, WebPDM, & GalleryNedgraphics - Oracle E-Business Suite"," - Trend and emerging brand awareness - Spec measurements - Featured in WGSN 2015 Retail Analysis - Asia, Mex., & Euro Dev./Prod. Vendor Communications"
Resume_56, - ADA - Approach - Arbitration - Auditing - Business strategy - Case management - Contract negotiations - Crisis management - Finance - Functional - HRIS - Human Resource - Human resources - HR - Information systems - ISO - Leadership - Material Science - Money - Negotiating - Negotiation - Negotiations - Network - Organizing - Organizational - Payroll - Performance management - Personnel - Policies - Problem solving - Quality - Recruiting - Recruiter - Safety - Staffing - Structured - Supervisor - Technical training, - ISO 22000 quality auditor - ISO 14001 Environmental auditor, - ABRA (HRIS)," - Experienced in union and non-union manufacturing, sales, and headquarters environments - Established North American region safety operations network across the US and Canada - Behavior-based safety methods - 12-hour 24/7 shift organization - Succession planning and recruiting - Kaizen, quality advantage training, quality of leadership, and money stream training - Case management and return-to-work programs - Structured problem-solving approach - Performance management process - Cell-based and skill-based pay language integration - ADA and FMLA policy implementation - Workforce development training grant acquisition"
Resume_178, - Adobe Photoshop - Adobe Illustrator - Adobe InDesign - Adobe Acrobat - Dreamweaver - Microsoft Windows - Microsoft Word - Microsoft Excel - Quark - Art - Balance - Banners - Brand identity - Brochure Design - Creative design - Clients - Editing - E-mail - Layout Design - Layout - Marketing plan - Marketing - Marketing materials - Posters - Print production - Promotional materials - Proofreading - Web Design - Website maintenance,None mentioned," - Adobe Creative Suite 5 (Photoshop, Illustrator, InDesign, Acrobat) - Dreamweaver - Microsoft Office (Windows, Word, Excel) - Quark"," - Marketing and design professional with nearly 8 years of experience - Expertise in development of brand identity, layout and copy of promotional materials, copy editing and proofreading, execution and design of promotional campaigns, and print production preparation - Ability to work hard and accomplish duties without direct supervision - Self-motivated and disciplined"
Resume_2234, - Strategic business development - Project management - Procurement agent - Emerging markets - Domestic and international experience - Infrastructure and real assets advisory - Mergers and acquisitions,None mentioned, - Regulation 144A/S private placement - International project finance standards - Financial modeling and analysis - Negotiation and contract management - Cross-cultural negotiations," - 10 years of financial and strategic advisory experience - Expertise in enabling established companies to identify, develop, and implement strategic growth initiatives in emerging markets - Proactive assistance to clients in various industries (oil and gas, power, mining, retail, utilities, real estate, critical infrastructure, diversified industrials, and food and beverage) - Expertise in navigating high-growth emerging markets in Africa, Latin America, and the Middle East"
Resume_1271," - Lisp - HTML - SQL - Macros (VBA) - Microsoft Word - Microsoft Excel (Pivot table, Vlookup) - Microsoft Access - Microsoft PowerPoint - Sharepoint - Salesforce - Google Analytics - IBM Coremetrics - Microstrategy - Infoview - Basecamp - YouTube and Facebook Analytics - Sitespect - SEO (working knowledge) - Statistics - Behavioral Psychology",None mentioned," - Window XP, Vista, 7 - SiteCatalyst - Omniture - Business Object - Infoview - Automated Underwriting System - Salesforce"," - Grew combined SEM, display, retargeting and affiliate marketing channel by 15% in membership - Increased lifetime value by $20 million - Launched acquisition and brand awareness marketing campaigns - Optimized marketing campaigns to lower CPA and increase ROI - Collaborated with pricing and creative teams, and marketing partners - Negotiated prices and bonuses with marketing partners - Exported and analyzed data from marketing partners' systems - Created dashboards and presentations for internal teams and executives - Managed an associate to optimize campaigns - Conducted A/B and multivariate testing to improve conversion rates - Analyzed web and marketing performance metrics - Managed and optimized affiliate marketing campaigns - Negotiated with affiliate networks for optimal costs - Researched and built partnerships with new affiliates - Designed creative for campaigns - Developed new business models like upselling and pop-ups - Collaborated with technical teams to resolve reporting and application issues - Worked with multiple teams to increase call volume by 18% and revenue by 10% - Designed A/B testing to evaluate product enhancements - Identified enhancements to improve search relevancy and customer experience - Validated and verified loan application information - Analyzed debt-to-income ratios and funds to close - Coordinated with various teams to close loans"
Resume_596, - Strong Leadership communication skills - Strategic account development - Fortune 500 partner experience - National account management - Exceeds sales goals - Cross-functional team management - Negotiations expert - Goal-oriented - Team building expertise - Staff Development,None mentioned, - Avendra - Group Purchasing Organizations - Buying consortium agreements - Steelcase systems and contract furniture - Allsteel partnership," - Global Business Development - Presentation and communication skills - Cross-cultural team management - Entrepreneurial attitude - Effective management with dealer principals, C-Level corporate end users, A/D community, Real Estate and construction industry - Creating strategic alliances with organization leaders - Building and retaining high performance teams - Interior Design - Industrial Technology - Total Quality Management - Product launch and vendor trade show management - Architect and designer marketing event coordination"
Resume_1053," - Microsoft Office Suite - Adobe Creative Suite - Ronlynn Apparel Software - Proficiency in Mac and PC platforms - Social media (including Pinterest, Instagram, Facebook, and Snapchat) - Internet research",None mentioned, - Ronlynn Apparel Software (RLM) - iPads - Excel, - Fluent in Albanian - Product knowledge training - Visual merchandising - Garment specification and construction - Garment sketching - Attending fit meetings - Exceeding monthly sales goals
Resume_486, - Marketing - Clients - Product Positioning - Public Relations - Interviewing - Recruiting - Community Relations - Operations - Case Management - Recruiter - Recruitment - Training - Solid Waste - Solid Waste Management - Waste Management - Liaison - Customer Service - Database - HIPAA - Maintenance - Receptionist - Retail Sales - Training Programs - Budget - Truck Driving - Food Distribution - Progress - San - Storage Area Network, - HIPAA," - Microsoft Office (Word, Excel, PowerPoint, Outlook) - Internet"," - Strong interpersonal relations, written and verbal communication skills - Ability to interact easily with people of diverse backgrounds, cultures, and socio-economic backgrounds - Exceptional organizational and time management skills - Ability to work well within a team, manage multiple tasks, and identify and resolve issues - Balanced Dave Thomas Foundation/UJIMA budget and adhered to reporting criteria, increasing options for future grant applications - Led fundraising for local schools, churches, and other local non-profit organizations - Developed and implemented the St. Philips' College Truck Driving Program - Successfully implemented introductory class for prospective adoptive parents, which increased applicants by 80%"
Resume_1195," - Java, JEE (Web Services, JSP, Servlet, Struts, JDBC, JMS, MDB, JMX) - Spring IoC, Spring MVC (REST), Spring Security, Spring Remoting, Spring AMQP - Hibernate, MyBatis, Maven, Mockito, WireMock - JMeter, Gatling, JUnit - RabbitMQ, IBM MqSeries - Service Oriented Architecture (SOA), Enterprise Service Bus (OSB), Business Process Execution Language (BPEL), Web services, XML, XSD, XSLT, XPATH, Xquery, SOAP - Spring MVC - RESTFul services with JSON and XML - Web Servers/Tools: Tomcat, Eclipse/Spring tool suite (STS), Maven Jetty Plugin, Oracle Weblogic 11g, Oracle Service Bus (OSB), Websphere Application Server, Rational Application Developer RAD 6.0 - Database: Oracle 11g, JAVADB - DERBY, HSQLDB, MySQL - Scripting language: JavaScript, HTML - Version control: Git-Stash, Subversion (SVN) - Other utilities: UML - Enterprise Architect 7.5 (EA), LDAP - Jexplorer, MQExplorer, Atlassian stack- JIRA, Bamboo and Confluence, Puppet - Development Platform /Operating Systems: Mac OS, Windows 2000/XP/windows7, Linux - Quality Assurance and Robustness: Sonar, performance improvement using JProfiler and VisualVM, ELK stack and Java melody for API monitoring", - Passed German A1 language certification exam and currently pursuing A2," - Spring framework, RabbitMQ, GemFire, MyBatis, Liquibase, JMeter, Gatling, Mockito, WireMock, ELK stack, CA Siteminder, Oracle SOA suite, Jdeveloper, Oracle Service Bus (OSB), IBM MQ Series, XBEAN, Struts Framework, Enterprise Architect 7.5, Jexplorer, MQExplorer, JIRA, Bamboo, Confluence, Puppet"," - Clean code programming skills and Emergent design techniques - Test-driven development (TDD) and Behavior-driven development (BDD) - Java performance improvement and reliability - High-availability and Continuous Integration - Relational and NoSQL databases - Agile and Scrum development processes - Deutsch culture and traditions, worked with German clients and colleagues for over 5 years - Provided training and coaching to team members on new technologies"
Resume_565," - Staffing management ability - Proven patience and self-discipline - Relationship and team building - Staff training and development - Critical thinking proficiency - Compensation/benefits administration - Skilled negotiator - Account management - Excellent written and verbal communicator - Enthusiastic team player - Problem solving - Billing - Attention to detail - Recruiting and selection techniques - Proficient communicator - Contract review - Cold calling - Hiring recommendations - Interviewing - Strategic planning - Multi-tasking ability - Proficient with Microsoft Word, Excel, PowerPoint, Access, and Outlook Express - Proficient with Optimizer, WFX, Stafferlink, Healthtrust, and Bullhorn - Maintaining active databases of various hospital proprietary software technology systems",None mentioned," - Microsoft Word, Excel, PowerPoint, Access, and Outlook Express - Optimizer - WFX - Stafferlink - Healthtrust - Bullhorn - Various hospital proprietary software technology systems"," - Knowledge of HIPAA Privacy and Security Regulations - Ability to develop creative recruiting strategies - Ability to communicate duties, compensation, benefits, and working conditions to candidates - Ability to work with Director of Nursing and Human Resource Directors to support business growth - Ability to coach and counsel employees, mediate disputes, and manage performance - Ability to onboard new employees in time reporting and payroll systems - Ability to manage payroll and time and attendance systems"
Resume_1355, - Insurance fraud expertise - Database management - Strong interpersonal and communication skills - Property claims - Workers' compensation claims - Report writing - Interviewing techniques - Decisive - Critical thinker," - Certified Insurance Fraud Investigator (CIFI) from the International Association of Special Investigation Units (IASIU) - Senior Claims Law Associate Degree (SCLA) from the American Educational Institute - Fraud Claims Law Specialist (FCLS) from the American Educational Institute - California Peace Officer Standard in Training: Basic, Intermediate & Advanced", - Credit - Law - Office - Police," - Supervision - Conducted numerous training sessions with the insurance industry on recognizing ""red flags"" of insurance fraud - Worked as a Sworn Police Officer for 10 years - Employed as a Sr. Special Investigator or Manager within the insurance industry for 30 years - Investigated questionable insurance claims and referred fraudulent cases to state DOI Fraud Bureaus and District Attorney's Offices - Monitored out-of-area investigations by Private Investigation Companies"
Resume_787, - Accounting - Adobe - ADR - Analyst - Auditing - Billing - Budget development - Budgets - Charts - Contracts - CPT - Crystal Reports - Customer satisfaction - Customer care - Data analysis - Database applications - Databases - Editing - Email - Financial - Forms - Government - Grants - ICD-9 - Leadership - Legal - Managing - Microsoft Office Suite - Modeling - Networking - Organizing - Organizational - Policies - Coding - Project management - Quality - Quality Improvement - Reporting - Research - RMS - Scheduling - Upgrades - Validation - Workflow, - CITI Training (100% accuracy) - HIPAA and Human Subjects Course (2011), - Athena Clarity - Crystal Reports - Medicare FISS - Medicaid MMIS - RMS system," - Expertise in practice workflow, electronic health record systems, and quality measures - Understanding of federal and state EHR incentive programs, mandates, and legal requirements - Ability to communicate clinical quality measure components of global payment contracts and EHR Use Requirements - Experience with population management and tracking/monitoring individual process and outcome measures - Proficiency in quality improvement initiatives and supporting primary care practices - Expertise in billing, coding, and charge capture analysis - Experience in clinical research and data extraction - Proficiency in grant writing, budget development, and program/fund development - Leadership and organizational skills in managing a small business"
Resume_1851, - Billing and Collections - Accounts Payable - Accounts Receivable - Job Costing - Reconciliations - MS Office Suite - Accounting software - Written and Verbal Communication Skills - Journal entries - Pivot Tables - Notary Commissioned, None mentioned," - Sage software - Financial Reporting System - General Ledger - Budgets - Grants, awards, and contracts - Fiscal procedures and manual - Forecasting", - Accounting - Accountant - Accounts Payable and Receivable - Billing and Collections - Cash management - Closing procedures - Cost analysis - Credit - Financial Accounting - Financial Reporting - Financial statements - Payroll - Processes - Taxes and tax returns
